Date,Price
1/2/2018,268.769989
1/3/2018,270.470001
1/4/2018,271.609985
1/5/2018,273.420013
1/8/2018,273.920013
1/9/2018,274.540009
1/10/2018,274.119995
1/11/2018,276.119995
1/12/2018,277.920013
1/16/2018,276.970001
1/17/2018,279.609985
1/18/2018,279.140015
1/19/2018,280.410004
1/22/2018,282.690002
1/23/2018,283.290009
1/24/2018,283.179993
1/25/2018,283.299988
1/26/2018,286.579987
1/29/2018,284.679993
1/30/2018,281.76001
1/31/2018,281.899994
2/1/2018,281.579987
2/2/2018,275.450012
2/5/2018,263.929993
2/6/2018,269.130005
2/7/2018,267.670013
2/8/2018,257.630005
2/9/2018,261.5
2/12/2018,265.339996
2/13/2018,266
2/14/2018,269.589996
2/15/2018,273.029999
2/16/2018,273.109985
2/20/2018,271.399994
2/21/2018,270.049988
2/22/2018,270.399994
2/23/2018,274.709991
2/26/2018,277.899994
2/27/2018,274.429993
2/28/2018,271.649994
3/1/2018,267.700012
3/2/2018,269.079987
3/5/2018,272.190002
3/6/2018,272.880005
3/7/2018,272.779999
3/8/2018,274.100006
3/9/2018,278.869995
3/12/2018,278.519989
3/13/2018,276.720001
3/14/2018,275.299988
3/15/2018,275
3/16/2018,274.200012
3/19/2018,270.48999
3/20/2018,270.950012
3/21/2018,270.429993
3/22/2018,263.670013
3/23/2018,258.049988
3/26/2018,265.109985
3/27/2018,260.600006
3/28/2018,259.829987
3/29/2018,263.149994
4/2/2018,257.470001
4/3/2018,260.769989
4/4/2018,263.559998
4/5/2018,265.640015
4/6/2018,259.720001
4/9/2018,261
4/10/2018,265.149994
4/11/2018,263.76001
4/12/2018,265.929993
4/13/2018,265.149994
4/16/2018,267.329987
4/17/2018,270.190002
4/18/2018,270.390015
4/19/2018,268.890015
4/20/2018,266.609985
4/23/2018,266.570007
4/24/2018,262.980011
4/25/2018,263.630005
4/26/2018,266.309998
4/27/2018,266.559998
4/30/2018,264.51001
5/1/2018,264.980011
5/2/2018,263.200012
5/3/2018,262.619995
5/4/2018,266.019989
5/7/2018,266.920013
5/8/2018,266.920013
5/9/2018,269.5
5/10/2018,272.019989
5/11/2018,272.850006
5/14/2018,272.980011
5/15/2018,271.100006
5/16/2018,272.23999
5/17/2018,272.01001
5/18/2018,271.329987
5/21/2018,273.369995
5/22/2018,272.609985
5/23/2018,273.359985
5/24/2018,272.799988
5/25/2018,272.149994
5/29/2018,269.019989
5/30/2018,272.609985
